,course_code,words
534,PBPL 24000,built
535,PBPL 24000,deepen
536,PBPL 24000,equity
537,PBPL 24000,pbpl
538,PBPL 24000,issues
539,PBPL 24000,meaning
540,PBPL 24000,life
541,PBPL 24100,placemaking
542,PBPL 24100,urbanism
543,PBPL 24100,accessibility
544,PBPL 24100,effect
545,PBPL 24100,safety
546,PBPL 24100,pedestrian
547,PBPL 24100,first
548,PBPL 24100,spaces
549,PBPL 24100,realm
550,PBPL 24100,geog
551,PBPL 24100,analyze
552,PBPL 24100,debates
553,PBPL 24100,them
554,PBPL 24100,walkability
555,PBPL 24100,chicago
556,PBPL 24100,fabric
557,PBPL 24100,equivalent
558,PBPL 24100,civic
559,PBPL 24100,streets
560,PBPL 24100,security
561,PBPL 24100,implications
562,PBPL 24100,block
563,PBPL 24100,experience
564,PBPL 24100,concepts
565,PBPL 24100,readings
566,PBPL 24100,talen
567,PBPL 24100,building
568,PBPL 24100,form
569,PBPL 24100,design
570,PBPL 24100,interaction
571,PBPL 24100,relation
572,PBPL 24100,sosc
573,PBPL 24100,urban
574,PBPL 24100,practice
575,PBPL 24100,hand
576,PBPL 24100,principles
577,PBPL 24100,style
578,PBPL 24100,normative
579,PBPL 24100,repair
580,PBPL 24100,theory
581,PBPL 24100,scale
582,PBPL 24100,discussion
583,PBPL 24100,pbpl
584,PBPL 24100,street
585,PBPL 24100,connection
586,PBPL 24100,examines
587,PBPL 24100,well
588,PBPL 24100,regulation
589,PBPL 24100,surround
590,PBPL 24100,architectural
591,PBPL 24500,basic
592,PBPL 24500,covers
593,PBPL 24500,purchase
594,PBPL 24500,policies
595,PBPL 24500,taxation
596,PBPL 24500,prerequisite
597,PBPL 24500,ierulli
598,PBPL 24500,neighborhoods
599,PBPL 24500,econ
600,PBPL 24500,decisions
601,PBPL 24500,housing
602,PBPL 24500,rents
603,PBPL 24500,geog
604,PBPL 24500,landlord
605,PBPL 24500,stat
606,PBPL 24500,analyze
607,PBPL 24500,world
