,term1,term2,term3,term4
EALC 25000,Winter,,,
EALC 26206,Autumn,,,
EALC 26800,Spring,,,
EALC 27014,Spring,,,
EALC 27708,Spring,,,
EALC 28010,Winter,,,
EALC 28015,Spring,,,
EALC 29500,Autumn,,,
EALC 29600,Winter,,,
JAPN 10100,Autumn,,,
JAPN 10200,Winter,,,
JAPN 10300,Spring,,,
JAPN 19000,Autumn,,,
JAPN 20100,Autumn,,,
JAPN 20200,Winter,,,
JAPN 20300,Spring,,,
JAPN 20401,Autumn,,,
JAPN 20402,Winter,,,
JAPN 20403,Spring,,,
JAPN 20500,Autumn,,,
JAPN 20600,Winter,,,
JAPN 20700,Spring,,,
JAPN 21200,Winter,,,
JAPN 21300,Spring,,,
KORE 10100,Spring,,,
KORE 10200,Winter,,,
KORE 10300,Spring,,,
KORE 20100,Autumn,,,
KORE 20200,Winter,,,
KORE 20300,Spring,,,
KORE 20401,Autumn,,,
KORE 20402,Winter,,,
KORE 20403,Spring,,,
KORE 22200,Winter,,,
KORE 22300,Spring,,,
KORE 23100,Spring,,,
PSYC 20000,Autumn,,,
PSYC 20100,Autumn,,,
PSYC 20200,Winter,,,
PSYC 20209,Winter,,,
PSYC 20300,Winter,,,
PSYC 20400,Spring,,,
PSYC 20500,Spring,,,
PSYC 20600,Autumn,,,
PSYC 20700,Autumn,Winter,,
PSYC 20850,Autumn,,,
PSYC 21115,Spring,,,
PSYC 21125,Spring,,,
PSYC 21450,Winter,,,
PSYC 21690,Winter,,,
PSYC 21750,Spring,,,
PSYC 21840,Winter,,,
PSYC 22250,Winter,,,
PSYC 22580,Autumn,,,
PSYC 23000,Autumn,,,
PSYC 23165,Spring,,,
PSYC 23200,Winter,,,
PSYC 23249,Winter,,,
PSYC 23800,Winter,,,
PSYC 23860,Autumn,,,
PSYC 24000,Spring,,,
PSYC 24050,Spring,,,
PSYC 24249,Winter,,,
PSYC 24680,Summer,,,
PSYC 25101,Autumn,,,
PSYC 25470,Spring,,,
PSYC 25670,Spring,,,
PSYC 25700,Winter,,,
PSYC 25750,Autumn,,,
PSYC 25901,Winter,,,
PSYC 25950,Spring,,,
PSYC 27950,Autumn,,,
PSYC 28910,Spring,,,
PSYC 29200,Autumn, Winter, Spring,
PSYC 29700,Autumn, Winter, Spring,
PSYC 29800,Winter,,,
INST 27702,Autumn,,,
INST 29700,Autumn, Winter, Spring,
ENSC 13300,Spring,,,
ENSC 13400,Autumn, Spring,,
ENSC 20209,Winter,,,
ENSC 21100,Spring,,,
ENSC 23800,Winter,,,
