,term1,term2,term3,term4
CHDV 27657,Winter,,,
CHDV 27821,Autumn,,,
CHDV 27903,Autumn,,,
CHDV 27950,Autumn,,,
CHDV 28901,Autumn,,,
CHDV 29700,Autumn, Winter, Spring,
CHDV 29701,Autumn,,,
CHDV 29800,Spring,,,
CHDV 29900,Autumn,Winter,,
JWSC 11000,Autumn,,,
JWSC 11100,Spring,,,
JWSC 11200,Winter,,,
JWSC 20120,Autumn,,,
JWSC 20121,Winter,,,
JWSC 20150,Autumn,,,
JWSC 20151,Spring,,,
JWSC 20223,Winter,,,
JWSC 20224,Spring,,,
JWSC 20226,Autumn,,,
JWSC 20231,Spring,,,
JWSC 20300,Autumn,,,
JWSC 20400,Winter,,,
JWSC 20500,Spring,,,
JWSC 21107,Spring,,,
JWSC 22000,Autumn,,,
JWSC 22100,Winter,,,
JWSC 22200,Spring,,,
JWSC 22300,Autumn,,,
JWSC 22400,Winter,,,
JWSC 22500,Spring,,,
JWSC 23402,Spring,,,
JWSC 25000,Autumn,,,
JWSC 25100,Winter,,,
JWSC 25200,Spring,,,
JWSC 25300,Autumn,,,
JWSC 25400,Winter,,,
JWSC 25500,Spring,,,
JWSC 25600,Autumn,,,
JWSC 25601,Spring,,,
JWSC 25700,Winter,,,
JWSC 25800,Spring,,,
JWSC 26215,Winter,,,
JWSC 27301,Autumn,,,
JWSC 27401,Winter,,,
JWSC 29700,Autumn, Winter, Spring,
JWSC 29900,Autumn, Winter, Spring,
GLST 23101,Autumn,,,
GLST 23102,Winter,,,
GLST 24104,Winter,,,
GLST 24105,Spring,,,
GLST 24106,Spring,,,
GLST 24107,Spring,,,
GLST 27702,Autumn,,,
GLST 28001,Spring,,,
GLST 29700,Autumn,Winter,Spring,
GLST 29800,Autumn,,,
GLST 29801,Winter,,,
HIST 10101,Winter,,,
HIST 10102,Spring,,,
HIST 10301,Winter,,,
HIST 10800,Winter,,,
HIST 10900,Spring,,,
HIST 12101,Autumn,,,
HIST 12700,Winter,,,
HIST 12800,Spring,,,
HIST 13001,Autumn,Winter,,
HIST 13002,Winter,Spring,,
HIST 13003,Spring,,,
HIST 13100,Summer,Autumn,,
HIST 13200,Summer,Winter,,
HIST 13300,Summer,Spring,,
HIST 13500,Autumn,,,
HIST 13600,Winter,,,
HIST 13700,Spring,,,
HIST 13802,Autumn,,,
HIST 13900,Autumn,,,
HIST 14000,Winter,,,
HIST 14801,Winter,,,
HIST 15002,Autumn,,,
HIST 15100,Summer,Autumn,,
HIST 15200,Summer,Winter,,
HIST 15300,Spring,,,
HIST 15602,Autumn,,,
HIST 15603,Winter,,,
HIST 15604,Spring,,,
HIST 15702,Autumn,,,
HIST 15703,Winter,,,
HIST 15704,Winter,,,
HIST 15801,Spring,,,
HIST 16101,Autumn,,,
HIST 16102,Winter,,,
HIST 16103,Spring,,,
HIST 16601,Winter,,,
HIST 16700,Autumn,,,
HIST 16800,Winter,,,
HIST 16900,Spring,,,
HIST 17300,Autumn,,,
HIST 17400,Winter,,,
HIST 17402,Autumn,,,
HIST 17501,Spring,,,
HIST 17502,Spring,,,
HIST 17503,Autumn,,,
HIST 17604,Spring,,,
HIST 17807,Winter,,,
HIST 18201,Autumn,,,
HIST 18301,Autumn,,,
HIST 18302,Winter,,,
HIST 18303,Spring,,,
HIST 18805,Winter,,,
HIST 20209,Winter,,,
HIST 20403,Spring,,,
HIST 20506,Spring,,,
HIST 21007,Winter,,,
HIST 21701,Autumn,,,
HIST 21702,Spring,,,
HIST 22900,Autumn,,,
HIST 23304,Spring,,,
HIST 23410,Spring,,,
HIST 23704,Autumn,,,
HIST 24307,Autumn,,,
HIST 24308,Autumn,,,
HIST 24500,Winter,,,
HIST 24507,Spring,,,
HIST 24510,Spring,,,
HIST 24601,Spring,,,
HIST 24700,Winter,,,
HIST 24706,Spring,,,
HIST 25014,Winter,,,
HIST 25109,Winter,,,
HIST 25414,Spring,,,
HIST 25420,Spring,,,
HIST 25503,Winter,,,
HIST 25506,Spring,,,
HIST 25610,Autumn,,,
HIST 25613,Winter,,,
HIST 25701,Autumn,,,
HIST 25704,Autumn,,,
HIST 25804,Winter,,,
HIST 25904,Spring,,,
HIST 26005,Autumn,,,
HIST 26116,Spring,,,
HIST 26117,Spring,,,
HIST 26121,Spring,,,
HIST 26122,Autumn,,,
HIST 26123,Autumn,,,
HIST 26219,Spring,,,
HIST 26316,Autumn,,,
HIST 26409,Winter,,,
HIST 26415,Autumn,,,
HIST 26509,Spring,,,
HIST 26511,Winter,,,
HIST 26602,Autumn,,,
HIST 26710,Autumn,,,
HIST 26818,Autumn,,,
HIST 26904,Spring,,,
HIST 27001,Winter,,,
HIST 27006,Winter,,,
HIST 27102,Winter,,,
HIST 27207,Autumn,,,
HIST 27306,Autumn,,,
HIST 27406,Autumn,,,
HIST 27506,Winter,,,
HIST 27705,Spring,,,
HIST 27708,Spring,,,
HIST 28000,Autumn,,,
HIST 28703,Winter,,,
HIST 28800,Autumn,,,
HIST 28805,Autumn,,,
HIST 28900,Autumn,,,
HIST 29102,Autumn,,,
HIST 29408,Winter,,,
HIST 29630,Autumn,,,
HIST 29632,Spring,,,
HIST 29642,Spring,,,
HIST 29651,Spring,,,
HIST 29652,Autumn,,,
HIST 29663,Winter,,,
HIST 29665,Winter,,,
HIST 29666,Spring,,,
HIST 29700,Summer,Autumn,Winter,Spring
HIST 29801,Autumn,Spring,,
HIST 29802,Winter,,,
HIST 29902,Spring,,,
HIST 29906,Spring,,,
PBPL 20000,Autumn,Spring,,
PBPL 20305,Winter,,,
PBPL 21800,Spring,,,
PBPL 22100,Autumn,,,
PBPL 22200,Winter,,,
PBPL 22300,Autumn,Spring,,
PBPL 23000,Autumn,,,
PBPL 23100,Winter,,,
PBPL 23200,Spring,,,
PBPL 23600,Autumn,,,
PBPL 24000,Autumn,,,
PBPL 24100,Autumn,,,
PBPL 24500,Spring,,,
PBPL 24510,Autumn,,,
PBPL 24701,Autumn,,,
PBPL 24751,Autumn,Winter,Spring,
PBPL 24800,Winter,,,
PBPL 25105,Spring,,,
PBPL 25405,Spring,,,
PBPL 25810,Spring,,,
PBPL 25860,Winter,,,
PBPL 26002,Spring,,,
PBPL 26200,Winter,,,
PBPL 26300,Spring,,,
PBPL 26301,Autumn,,,
PBPL 26400,Spring,,,
PBPL 26444,Spring,,,
PBPL 26530,Spring,,,
PBPL 26531,Spring,,,
PBPL 26700,Spring,,,
PBPL 27000,Spring,,,
PBPL 27040,Winter,,,
PBPL 27070,Spring,,,
PBPL 27750,Autumn,,,
PBPL 27751,Winter,,,
PBPL 27800,Winter,,,
PBPL 27809,Winter,,,
PBPL 27821,Autumn,,,
PBPL 27823,Spring,,,
PBPL 27900,Autumn,,,
PBPL 28050,Spring,,,
PBPL 28270,Winter,,,
PBPL 28350,Winter,,,
PBPL 28501,Autumn,Winter,Spring,
PBPL 28605,Autumn,,,
PBPL 28702,Autumn,,,
PBPL 28730,Winter,,,
PBPL 28750,Winter,,,
PBPL 28805,Spring,,,
PBPL 28920,Winter,,,
PBPL 29000,Autumn,,,
PBPL 29050,Winter,,,
PBPL 29120,Spring,,,
PBPL 29294,Winter,,,
PBPL 29355,Spring,,,
PBPL 29600,Autumn,Winter,Spring,
PBPL 29700,Autumn,Winter,Spring,
PBPL 29800,Autumn,,,
PBPL 29900,Autumn,Winter,Spring,
CMLT 20109,Winter,,,
CMLT 20226,Autumn,,,
CMLT 20231,Spring,,,
CMLT 20505,Spring,,,
CMLT 20510,Spring,,,
CMLT 21101,Winter,,,
CMLT 21202,Spring,,,
CMLT 21702,Autumn,,,
CMLT 21703,Winter,,,
CMLT 21815,Spring,,,
CMLT 22301,Autumn,,,
CMLT 22400,Autumn,,,
CMLT 22500,Winter,,,
CMLT 23201,Autumn,,,
CMLT 23301,Winter,,,
CMLT 23702,Winter,,,
CMLT 24017,Spring,,,
CMLT 25001,Autumn,,,
CMLT 25014,Autumn,,,
CMLT 25017,Winter,,,
CMLT 25102,Spring,,,
CMLT 25103,Spring,,,
CMLT 25801,Spring,,,
CMLT 26106,Spring,,,
CMLT 26301,Spring,,,
CMLT 26400,Autumn,,,
CMLT 26600,Winter,,,
CMLT 26700,Autumn,,,
CMLT 26902,Autumn,,,
CMLT 27003,Winter,,,
CMLT 27114,Autumn,,,
CMLT 27402,Spring,,,
CMLT 27451,Winter,,,
CMLT 27517,Winter,,,
CMLT 28240,Winter,,,
CMLT 28610,Winter,,,
CMLT 28900,Spring,,,
CMLT 29101,Spring,,,
CMLT 29700,Autumn, Winter, Spring,
CMLT 29701,Autumn,,,
CMLT 29705,Winter,,,
CMLT 29801,Autumn, Winter, Spring,
TAPS 10100,Autumn,Winter,Spring,
TAPS 10200,Autumn,Winter,Spring,
TAPS 10300,Autumn,Winter,Spring,
TAPS 10500,Autumn,,,
TAPS 10700,Autumn,Spring,,
TAPS 15500,Autumn,Winter,,
TAPS 18600,Winter,,,
TAPS 20100,Winter,,,
TAPS 20700,Winter,,,
TAPS 20800,Autumn,,,
TAPS 21600,Winter,Spring,,
TAPS 21700,Spring,,,
TAPS 21800,Autumn,,,
TAPS 22100,Winter,,,
TAPS 22500,Spring,,,
TAPS 23000,Autumn,Winter,,
TAPS 23100,Spring,,,
TAPS 23600,Autumn,Winter,,
TAPS 23700,Autumn,,,
TAPS 23900,Spring,,,
TAPS 24000,Spring,,,
TAPS 24300,Autumn,,,
TAPS 24500,Spring,,,
TAPS 24900,Winter,,,
TAPS 25200,Autumn,,,
TAPS 25500,Spring,,,
TAPS 26100,Autumn,,,
TAPS 27100,Autumn,,,
TAPS 27500,Spring,,,
TAPS 27800,Winter,,,
TAPS 27900,Autumn,,,
TAPS 28000,Spring,,,
TAPS 28100,Spring,,,
TAPS 28414,Autumn,,,
TAPS 28422,Spring,,,
TAPS 28443,Winter,,,
TAPS 28444,Autumn,Winter,Spring,
TAPS 28445,Autumn,Winter,Spring,
TAPS 28448,Autumn,,,
TAPS 28466,Autumn,,,
TAPS 28500,Autumn,Winter,Spring,
TAPS 28600,Autumn,Winter,Spring,
TAPS 28700,Autumn,Winter,Spring,
TAPS 28800,Autumn,Winter,Spring,
TAPS 28900,Autumn,Winter,Spring,
TAPS 29000,Autumn,Winter,Spring,
TAPS 29100,Autumn,Winter,Spring,
TAPS 29200,Autumn,Winter,Spring,
TAPS 29300,Autumn,Winter,Spring,
TAPS 29400,Autumn,Winter,Spring,
TAPS 29500,Autumn,Winter,Spring,
TAPS 29700,Autumn,Winter,Spring,
TAPS 29800,Autumn, Winter,,
MENG 20000,Autumn,,,
MENG 20100,Spring,,,
MENG 21000,Winter,,,
MENG 23000,Winter,,,
MENG 23100,Spring,,,
MENG 23310,Spring,,,
MENG 23320,Autumn,,,
MENG 23700,Winter,,,
MENG 24100,Winter,,,
MENG 24200,Spring,,,
MENG 24300,Spring,,,
MENG 24310,Winter,,,
MENG 25000,Spring,,,
MENG 26010,Spring,,,
MENG 26020,Spring,,,
MENG 26030,Autumn,,,
MENG 26101,Autumn,,,
MENG 26102,Winter,,,
MENG 26201,Winter,,,
MENG 26202,Spring,,,
MENG 27100,Autumn,,,
MENG 27200,Winter,,,
MENG 27300,Autumn,,,
MENG 29500,Winter,,,
MENG 29501,Autumn,,,
MENG 29600,Spring,,,
MENG 29700,Autumn, Winter, Spring,
ISHU 29802,Spring,,,
ISHU 29900,Autumn, Winter, Spring,
STAT 20000,Autumn,Winter,Spring,
STAT 22000,Autumn,Winter,Spring,
STAT 22200,Spring,,,
STAT 22400,Autumn, Spring,,
STAT 22600,Winter,,,
STAT 22700,Winter,,,
STAT 22810,Autumn,,,
STAT 23400,Autumn,Winter,Spring,
STAT 24300,Autumn,,,
STAT 24400,Autumn,Winter,,
STAT 24410,Autumn,,,
STAT 24500,Winter,Spring,,
STAT 24610,Spring,,,
STAT 25100,Autumn,Spring,,
STAT 25150,Spring,,,
STAT 25300,Winter,,,
STAT 26100,Winter,Spring,,
STAT 26700,Spring,,,
STAT 27400,Autumn,,,
STAT 27725,Autumn,,,
STAT 27850,Winter,,,
STAT 28000,Spring,,,
STAT 28200,Winter,,,
STAT 29700,Autumn, Winter, Spring,
STAT 29900,Autumn, Winter, Spring,
ARTV 10100,Autumn,Winter,Spring,
ARTV 10200,Autumn,Winter,Spring,
ARTV 10300,Autumn,Winter,Spring,
ARTV 15000,Autumn,,,
ARTV 20009,Spring,,,
ARTV 20201,Autumn,,,
ARTV 20410,Winter,,,
ARTV 20805,Autumn,,,
ARTV 20940,Spring,,,
ARTV 21002,Spring,,,
ARTV 21110,Winter,,,
ARTV 21501,Spring,,,
ARTV 21701,Winter,,,
ARTV 21902,Winter,,,
ARTV 22000,Winter,,,
ARTV 22002,Winter,,,
ARTV 22309,Autumn,,,
ARTV 22310,Spring,,,
ARTV 22500,Autumn,,,
ARTV 22502,Spring,,,
ARTV 23801,Autumn,,,
ARTV 23804,Winter,,,
ARTV 23806,Spring,,,
ARTV 23904,Winter,,,
ARTV 23905,Autumn, Winter,,
ARTV 23930,Autumn,,,
ARTV 24000,Autumn,Winter,,
ARTV 24112,Spring,,,
ARTV 24121,Spring,,,
ARTV 24131,Winter,,,
ARTV 24201,Autumn,,,
ARTV 24266,Winter,,,
ARTV 24301,Autumn,,,
ARTV 24403,Spring,,,
ARTV 24550,Autumn,,,
ARTV 24703,Autumn,,,
ARTV 24705,Spring,,,
ARTV 25300,Autumn,Winter,Spring,
ARTV 26000,Autumn,,,
ARTV 26214,Winter,,,
ARTV 26500,Autumn,,,
ARTV 26600,Winter,,,
ARTV 27200,Autumn,,,
ARTV 27210,Spring,,,
ARTV 28204,Spring,,,
ARTV 29600,Spring,,,
ARTV 29700,Autumn, Winter, Spring,
ARTV 29850,Autumn,,,
ARTV 29900,Winter,,,
HIPS 15002,Autumn,,,
HIPS 17300,Autumn,,,
HIPS 17400,Winter,,,
HIPS 17402,Winter,,,
HIPS 17501,Autumn,,,
HIPS 17502,Spring,,,
HIPS 17503,Spring,,,
HIPS 20003,Winter,,,
HIPS 20300,Winter,,,
HIPS 20500,Winter,,,
HIPS 20700,Autumn,,,
HIPS 20800,Autumn,,,
HIPS 20905,Autumn,,,
HIPS 21000,Winter,,,
HIPS 21100,Winter,,,
HIPS 21200,Spring,,,
HIPS 21301,Winter,,,
HIPS 21400,Autumn,,,
HIPS 22000,Autumn,,,
HIPS 22300,Winter,,,
HIPS 22700,Spring,,,
HIPS 23000,Spring,,,
HIPS 23600,Spring,,,
HIPS 23700,Spring,,,
HIPS 23900,Winter,,,
HIPS 24000,Spring,,,
HIPS 24300,Autumn,,,
HIPS 25014,Winter,,,
HIPS 25205,Autumn,,,
HIPS 25506,Spring,,,
HIPS 25600,Spring,,,
HIPS 25901,Autumn,,,
HIPS 25902,Spring,,,
HIPS 26000,Winter,,,
HIPS 26121,Spring,,,
HIPS 26203,Winter,,,
HIPS 26502,Spring,,,
HIPS 27300,Spring,,,
HIPS 27301,Winter,,,
HIPS 28101,Autumn,,,
HIPS 28202,Spring,,,
HIPS 28305,Spring,,,
HIPS 28601,Winter,,,
HIPS 28801,Autumn,,,
HIPS 29623,Spring,,,
HIPS 29700,Autumn, Winter, Spring,
HIPS 29800,Winter,,,
HIPS 29810,Autumn, Winter, Spring,
HIPS 29900,Autumn, Winter, Spring,
CHEM 00111,Autumn,,,
CHEM 00112,Winter,,,
CHEM 00113,Spring,,,
CHEM 00220,Autumn,,,
CHEM 00221,Winter,,,
CHEM 00222,Spring,,,
CHEM 10100,Autumn,,,
CHEM 10200,Winter,,,
CHEM 11100,Autumn,,,
CHEM 11200,Winter,,,
CHEM 11300,Spring,,,
CHEM 12100,Autumn,,,
CHEM 12200,Winter,,,
CHEM 12300,Spring,,,
CHEM 20100,Winter,,,
CHEM 20200,Spring,,,
CHEM 22000,Autumn,,,
CHEM 22100,Winter,,,
CHEM 22200,Spring,,,
CHEM 22700,Spring,,,
CHEM 23000,Autumn,,,
CHEM 23100,Winter,,,
CHEM 23200,Spring,,,
CHEM 23300,Autumn,,,
CHEM 26100,Autumn,,,
CHEM 26200,Winter,,,
CHEM 26300,Spring,,,
CHEM 26700,Winter,,,
CHEM 26800,Spring,,,
CHEM 29600,Autumn, Winter, Spring,
CHEM 29900,Summer, Autumn, Winter, Spring
CHEM 30100,Autumn,,,
CHEM 30200,Winter,,,
CHEM 30400,Autumn,,,
CHEM 30500,Autumn,,,
CHEM 30600,Winter,,,
CHEM 30900,Spring,,,
CHEM 31100,Spring,,,
CHEM 32100,Autumn,,,
CHEM 32200,Autumn,,,
CHEM 32300,Winter,,,
CHEM 32400,Winter,,,
CHEM 32500,Spring,,,
CHEM 32900,Autumn,,,
CHEM 33000,Spring,,,
CHEM 33100,Spring,,,
CHEM 33200,Autumn,,,
CHEM 33300,Winter,,,
CHEM 33400,Winter,,,
CHEM 36100,Autumn,,,
CHEM 36200,Winter,,,
CHEM 36300,Autumn,,,
CHEM 36400,Winter,,,
CHEM 36500,Spring,,,
CHEM 36800,Spring,,,
CHEM 36900,Spring,,,
CHEM 37100,Spring,,,
CHEM 37200,Spring,,,
CHEM 38700,Spring,,,
CHEM 51100,Spring,,,
NCDV 29700,Autumn, Winter, Spring,
NCDV 29800,Autumn, Winter, Spring,
NCDV 29900,Autumn,Winter,Spring,
GEOG 20000,Autumn,,,
GEOG 20100,Winter,,,
GEOG 20500,Autumn,,,
GEOG 21900,Autumn,,,
GEOG 22100,Winter,,,
GEOG 22700,Autumn,,,
GEOG 23500,Winter,,,
GEOG 23700,Spring,,,
GEOG 24000,Autumn,,,
GEOG 24100,Autumn,,,
GEOG 24200,Spring,,,
GEOG 25300,Spring,,,
GEOG 25400,Autumn,,,
GEOG 25500,Winter,,,
GEOG 25800,Winter,,,
GEOG 26100,Autumn,,,
GEOG 26600,Spring,,,
GEOG 26800,Spring,,,
GEOG 26900,Winter,,,
GEOG 28201,Autumn,,,
GEOG 28400,Winter,,,
GEOG 28600,Spring,,,
GEOG 28800,Spring,,,
GEOG 29100,Autumn, Winter, Spring,
GEOG 29300,Autumn, Winter, Spring,
GEOG 29400,Autumn,,,
GEOG 29500,Winter,,,
GEOG 29700,Autumn, Winter, Spring,
GEOG 29800,Winter,,,
PHIL 20100,Autumn,,,
PHIL 20212,Spring,,,
PHIL 20616,Spring,,,
PHIL 20710,Winter,,,
PHIL 20721,Autumn,,,
PHIL 20724,Autumn,,,
PHIL 20925,Spring,,,
PHIL 21000,Winter,,,
PHIL 21112,Winter,,,
PHIL 21113,Winter,,,
PHIL 21502,Winter,,,
PHIL 21506,Spring,,,
PHIL 21507,Spring,,,
PHIL 21600,Spring,,,
PHIL 21601,Spring,,,
PHIL 21606,Autumn,,,
PHIL 21834,Spring,,,
PHIL 21901,Spring,,,
PHIL 22000,Winter,,,
PHIL 22001,Spring,,,
PHIL 22209,Winter,,,
PHIL 22220,Autumn,,,
PHIL 22515,Autumn,,,
PHIL 22709,Autumn,,,
PHIL 22960,Autumn,,,
PHIL 23005,Winter,,,
PHIL 23205,Autumn,,,
PHIL 23307,Spring,,,
PHIL 24301,Spring,,,
PHIL 24800,Autumn,,,
PHIL 25000,Autumn,,,
PHIL 25101,Spring,,,
PHIL 25200,Winter,,,
PHIL 26000,Winter,,,
PHIL 26200,Spring,,,
PHIL 27000,Spring,,,
PHIL 27201,Winter,,,
PHIL 27202,Spring,,,
PHIL 28203,Spring,,,
PHIL 28210,Autumn,,,
PHIL 29200,Winter,Spring,,
PHIL 29300,Winter,Spring,,
PHIL 29400,Winter,,,
PHIL 29405,Autumn,,,
PHIL 29411,Winter,,,
PHIL 29425,Spring,,,
PHIL 29601,Autumn,,,
PHIL 29700,Autumn,Winter,Spring,
PHIL 29901,Autumn,Winter,,
PHIL 29902,Winter,Spring,,
GNSE 10310,Autumn,,,
GNSE 11002,Winter,,,
GNSE 15002,Autumn,,,
GNSE 15003,Winter,,,
GNSE 20170,Autumn,,,
GNSE 21001,Autumn,,,
GNSE 21400,Winter,,,
GNSE 21500,Winter,,,
GNSE 22904,Winter,,,
GNSE 22905,Winter,,,
GNSE 23100,Autumn,,,
GNSE 23103,Spring,,,
GNSE 23104,Spring,,,
GNSE 23603,Winter,,,
GNSE 27702,Winter,,,
GNSE 28604,Autumn,,,
GNSE 29600,Spring,,,
GNSE 29700,Summer, Autumn, Winter, Spring
GNSE 29800,Autumn,,,
GNSE 29900,Summer, Autumn, Winter, Spring
GNSE 50101,Autumn,Winter,Spring,
CATA 11100,Autumn,Spring,,
CATA 11200,Winter,,,
CATA 21100,Autumn,,,
CATA 21600,Spring,,,
CATA 21900,Winter,,,
CATA 22900,Spring,,,
CATA 29700,Autumn, Winter, Spring,
FREN 10100,Autumn,Winter,Spring,
FREN 10123,Summer,,,
FREN 10200,Autumn, Winter, Spring,
FREN 10300,Autumn, Winter, Spring,
FREN 20100,Autumn,Winter,Spring,
FREN 20200,Autumn, Winter, Spring,
FREN 20300,Autumn, Winter, Spring,
FREN 20500,Autumn,Winter,Spring,
FREN 20601,Spring,,,
FREN 21503,Autumn,,,
FREN 21740,Winter,,,
FREN 23110,Winter,,,
FREN 23333,Summer,Winter,,
FREN 23711,Autumn,,,
FREN 24017,Spring,,,
FREN 24410,Spring,,,
FREN 24516,Autumn,,,
FREN 25301,Winter,,,
FREN 29100,Spring,,,
FREN 29616,Spring,,,
FREN 29700,Autumn, Winter, Spring,
FREN 29900,Winter,,,
ITAL 10100,Autumn,,,
ITAL 10123,Autumn,,,
ITAL 10200,Winter,,,
ITAL 10300,Spring,,,
ITAL 12200,Spring,,,
ITAL 20100,Autumn,,,
ITAL 20200,Winter,,,
ITAL 20300,Spring,,,
ITAL 20400,Autumn,,,
ITAL 21100,Spring,,,
ITAL 22210,Spring,,,
ITAL 22600,Winter,,,
ITAL 22914,Autumn,,,
ITAL 23000,Spring,,,
ITAL 23410,Autumn,,,
ITAL 26000,Winter,,,
ITAL 26200,Autumn,,,
ITAL 29700,Autumn, Winter, Spring,
ITAL 29900,Winter,,,
PORT 10100,Autumn,,,
PORT 10200,Winter,,,
PORT 10300,Spring,,,
PORT 12200,Spring,,,
PORT 13100,Summer,,,
PORT 13200,Summer,,,
PORT 14100,Winter,,,
PORT 20100,Autumn,,,
PORT 20200,Winter,,,
PORT 21500,Spring,,,
PORT 21903,Spring,,,
PORT 26810,Winter,,,
PORT 29700,Autumn, Winter, Spring,
SOSC 27501,Autumn,,,
SOSC 27601,Autumn,,,
SOSC 27701,Autumn,,,
SPAN 10100,Autumn,Winter,,
SPAN 10123,Summer,,,
SPAN 10200,Autumn,Winter,Spring,
SPAN 10300,Autumn,Winter,Spring,
SPAN 20100,Autumn, Winter, Spring,
SPAN 20200,Autumn, Winter, Spring,
SPAN 20300,Autumn, Winter, Spring,
SPAN 20303,Autumn,,,
SPAN 20400,Autumn,Winter,Spring,
SPAN 20402,Autumn,,,
SPAN 20500,Winter,Spring,,
SPAN 20602,Spring,,,
SPAN 21100,Winter, Spring,,
SPAN 21500,Autumn,,,
SPAN 21703,Autumn,,,
SPAN 21803,Winter,,,
SPAN 21903,Spring,,,
SPAN 21910,Winter,,,
SPAN 22003,Autumn,Spring,,
SPAN 22900,Spring,,,
SPAN 23333,Summer,Spring,,
SPAN 26210,Winter,,,
SPAN 27510,Spring,,,
SPAN 28116,Autumn,,,
SPAN 29117,Winter,,,
SPAN 29200,Spring,,,
SPAN 29700,Autumn, Winter, Spring,
SPAN 29900,Winter,,,
CRES 10200,Autumn,Winter,Spring,
CRES 10800,Summer,Autumn,,
CRES 10900,Summer,Winter,,
CRES 11000,Spring,,,
CRES 16101,Autumn,,,
CRES 16102,Winter,,,
CRES 16103,Spring,,,
CRES 20104,Autumn,,,
CRES 20140,Spring,,,
CRES 20207,Autumn,,,
CRES 20701,Winter,,,
CRES 20702,Winter,,,
CRES 21201,Spring,,,
CRES 21264,Spring,,,
CRES 21903,Spring,,,
CRES 22150,Winter,,,
CRES 22205,Winter,,,
CRES 24001,Autumn,,,
CRES 24002,Winter,,,
CRES 24003,Spring,,,
CRES 24255,Spring,,,
CRES 24601,Autumn,,,
CRES 24706,Spring,,,
CRES 25405,Spring,,,
CRES 27101,Spring,,,
CRES 27302,Autumn,,,
CRES 27303,Autumn,,,
CRES 27501,Winter,,,
CRES 27502,Winter,,,
CRES 27503,Spring,,,
CRES 27504,Spring,,,
CRES 27605,Spring,,,
CRES 27705,Spring,,,
CRES 27900,Spring,,,
CRES 28000,Autumn,,,
CRES 28011,Autumn,,,
CRES 29000,Spring,,,
CRES 29302,Spring,,,
CRES 29800,Autumn, Winter, Spring,
CRES 29900,Autumn,Winter,Spring,
CRES 31800,Autumn,,,
CRES 34501,Autumn,Winter,,
CRES 34502,Spring,,,
CRES 36500,Autumn,,,
BIOS 00199,Summer,Autumn,Winter,Spring
BIOS 00206,Autumn, Winter, Spring, Summer
BIOS 00292,Spring,,,
BIOS 00296,Autumn, Winter,,
BIOS 00299,Summer,Autumn,Winter,Spring
BIOS 02490,Winter,,,
BIOS 10130,Autumn, Winter, Spring,
BIOS 10450,Autumn,,,
BIOS 10451,Winter,,,
BIOS 10500,Autumn,,,
BIOS 10501,Winter,,,
BIOS 10602,Autumn,,,
BIOS 10603,Winter,,,
BIOS 11119,Autumn,,,
BIOS 11125,Winter,,,
BIOS 11128,Spring,,,
BIOS 11132,Spring,,,
BIOS 11140,Autumn, Winter, Spring,
BIOS 12114,Summer,Autumn,Spring,
BIOS 12115,Spring,,,
BIOS 12116,Autumn,,,
BIOS 12117,Spring,,,
BIOS 12118,Autumn,,,
BIOS 12119,Winter,,,
BIOS 13107,Winter,,,
BIOS 13111,Spring,,,
BIOS 13112,Spring,,,
BIOS 13123,Winter,,,
BIOS 13125,Summer,,,
BIOS 13126,Winter,,,
BIOS 13128,Winter,,,
BIOS 13132,Autumn,,,
BIOS 13140,Autumn, Winter,,
BIOS 13253,Spring,,,
BIOS 14112,Winter, Summer,,
BIOS 14114,Spring,,,
BIOS 14115,Spring,,,
BIOS 15106,Winter,,,
BIOS 15115,Winter, Spring,,
BIOS 15123,Spring,,,
BIOS 17101,Autumn,,,
BIOS 20170,Winter,,,
BIOS 20171,Spring,,,
BIOS 20172,Spring,,,
BIOS 20173,Autumn,,,
BIOS 20175,Winter,,,
BIOS 20186,Autumn,,,
BIOS 20187,Winter,,,
BIOS 20188,Spring,,,
BIOS 20189,Spring,,,
BIOS 20190,Autumn,,,
BIOS 20191,Winter,,,
BIOS 20196,Autumn,,,
BIOS 20198,Spring,,,
BIOS 20200,Autumn, Spring, Summer,
BIOS 20234,Autumn,,,
BIOS 20235,Winter,,,
BIOS 20236,Spring,,,
BIOS 20242,Autumn,,,
BIOS 21206,Winter,,,
BIOS 21216,Winter,,,
BIOS 21229,Winter,,,
BIOS 21236,Autumn,,,
BIOS 21237,Winter,,,
BIOS 21238,Winter,,,
BIOS 21249,Spring,,,
BIOS 21317,Spring,,,
BIOS 21328,Spring,,,
BIOS 21349,Spring,,,
BIOS 21356,Spring,,,
BIOS 21358,Winter,,,
BIOS 21407,Spring,,,
BIOS 21415,Winter,,,
BIOS 21416,Autumn,,,
BIOS 21417,Spring,,,
BIOS 21507,Spring,,,
BIOS 22226,Winter,,,
BIOS 22233,Winter,,,
BIOS 22236,Spring,,,
BIOS 22247,Winter,,,
BIOS 22249,Autumn,,,
BIOS 22250,Spring,,,
BIOS 22260,Spring,,,
BIOS 22306,Autumn,,,
BIOS 23100,Spring,,,
BIOS 23232,Spring,,,
BIOS 23233,Spring,,,
BIOS 23247,Winter,,,
BIOS 23248,Autumn,,,
BIOS 23249,Winter,,,
BIOS 23252,Spring,,,
BIOS 23254,Spring,,,
BIOS 23258,Winter,,,
BIOS 23261,Autumn,,,
BIOS 23262,Autumn,,,
